Wall time,Step,Value
1611047799.3946033,3900,-2.2223105430603027
1611047834.6766057,4500,-3.0698118209838867
1611047933.9987397,6100,-5.151899337768555
1611047945.4807382,6300,-5.570854187011719
1611047964.800738,6600,-6.474043369293213
1611048031.1367428,7700,-8.188852310180664
1611048122.7167366,9200,-10.355228424072266
1611048141.5317378,9500,-10.988399505615234
1611048266.1297486,11500,-15.548771858215332
1611048337.2058027,12700,-18.757234573364258
1611048461.7427998,14700,-22.123245239257812
1611048635.6858084,17600,-28.155296325683594
1611048654.5828059,17900,-28.692867279052734
1611048710.047801,18800,-30.675735473632812
1611048814.7028046,20400,-34.98783493041992
1611048826.9738002,20600,-34.65886306762695
1611049095.539569,25000,-45.47660827636719
1611049129.7305722,25500,-47.41036605834961
1611049236.5595741,27000,-50.240684509277344
1611049273.3775744,27600,-50.97267150878906
1611049306.7943115,28100,-52.963287353515625
1611049347.4393134,28800,-53.93275451660156
1611049381.788314,29400,-55.34025955200195
1611049598.622315,32900,-63.22454071044922
1611049610.9893146,33100,-62.15863037109375
1611049654.690312,33900,-64.88157653808594
1611049774.5093143,36000,-67.69395446777344
1611049823.5343177,36800,-72.05436706542969
1611049968.96632,38800,-76.42509460449219
1611050364.325842,44200,-86.41532135009766
1611050371.4238422,44300,-89.72512817382812
1611050478.4136522,46000,-90.26017761230469
1611050503.6356502,46300,-92.35417938232422
1611050523.1976511,46600,-93.4732437133789
1611050624.7960742,48100,-94.17794799804688
1611050646.4400747,48400,-97.5534439086914
1611050654.002081,48500,-98.43692016601562
1611050732.2041378,49500,-97.3078842163086
1611050885.698709,51400,-100.91133117675781
1611051053.7347083,53500,-106.3425064086914
1611051190.484707,55200,-107.52679443359375
1611051230.2972336,55700,-110.36133575439453
1611051483.0874677,58400,-116.8577651977539
1611051562.3815644,59400,-118.57152557373047
1611051605.4655666,60000,-117.8070068359375
1611051665.8395698,60700,-120.02435302734375
1611051673.2695642,60800,-117.75079345703125
1611051991.9523032,64100,-124.81703186035156
1611052008.7222998,64300,-125.14517974853516
1611052123.8161306,65500,-127.22176361083984
1611052202.7422588,66200,-130.66038513183594
1611052211.1632571,66300,-132.67398071289062
1611052232.492259,66500,-128.30252075195312
1611052261.2272549,66800,-133.52243041992188
1611052274.924258,67000,-136.478271484375
1611052373.459841,68200,-136.7083740234375
1611052461.3620718,69200,-141.7997589111328
1611052879.6156256,73500,-148.0455322265625
1611052965.545551,74300,-140.83251953125
1611053056.631274,75100,-150.04232788085938
1611053139.29581,76000,-152.46630859375
1611053262.8695617,77300,-151.0145263671875
1611053301.770556,77700,-152.71774291992188
1611053391.8990839,78600,-151.54421997070312
1611053423.1256611,79000,-153.96072387695312
1611053439.4496608,79200,-158.046875
