Wall time,Step,Value
1610710271.2494798,2168,-0.6980934143066406
1610710276.9484792,2475,-0.7508458495140076
1610710277.895478,2537,-0.8172116875648499
1610710278.8554778,2587,-0.9622952938079834
1610710310.14448,4308,-1.7913930416107178
1610710313.761479,4487,-1.9377909898757935
1610710351.3214803,6493,-3.1825077533721924
1610710364.4864793,7135,-3.7961575984954834
1610710394.2284777,8712,-5.173122406005859
1610710408.6364782,9464,-5.95897102355957
1610710446.614478,11261,-7.46979284286499
1610710450.6374805,11469,-7.704934120178223
1610710478.0334773,12906,-8.655323028564453
1610710479.291478,12967,-8.881402969360352
1610710498.598478,13970,-9.095645904541016
1610710544.710479,16295,-10.783340454101562
1610710553.50048,16780,-11.879325866699219
1610710577.9854774,18117,-13.497475624084473
1610710641.394479,21641,-16.29238510131836
1610710650.0104792,22063,-15.942633628845215
1610710658.9474785,22540,-16.512849807739258
1610710659.782478,22579,-16.89044952392578
1610710665.5284796,22856,-17.996021270751953
1610710675.01048,23320,-17.25910186767578
1610710694.719479,24331,-18.848743438720703
1610710718.9764774,25702,-20.14971160888672
1610710728.668478,26148,-21.076953887939453
1610710732.2664785,26323,-20.6239070892334
1610710740.63248,26728,-20.560535430908203
1610710750.4934778,27254,-21.538822174072266
1610710846.8134797,31830,-25.09244155883789
1610710865.7354805,32613,-25.420507431030273
1610710867.8414812,32707,-26.716724395751953
1610710891.764481,33937,-27.380720138549805
1610710902.2274797,34436,-27.09234619140625
1610710916.688479,35182,-29.057771682739258
1610710927.8654802,35750,-28.475690841674805
1610710928.6444776,35786,-28.91577911376953
1610710929.7765114,35840,-29.850133895874023
1610710943.741478,36526,-29.663846969604492
1610710972.5654783,37954,-30.976516723632812
1610710987.0354793,38630,-31.250560760498047
1610710987.682479,38660,-30.48642921447754
1610711008.6954777,39765,-31.98749542236328
1610711010.6004777,39877,-31.39270782470703
1610711027.002478,40721,-33.61444854736328
1610711029.832479,40841,-32.98500061035156
1610711073.8354807,43272,-35.154335021972656
1610711120.1024778,45640,-38.699790954589844
1610711126.6844802,45994,-36.346160888671875
1610711131.79548,46201,-38.51387405395508
1610711152.4944775,47373,-38.88096618652344
1610711171.6924827,48335,-40.36817932128906
1610711173.1644797,48414,-38.670711517333984
1610711196.6234798,49745,-41.89189910888672
1610711205.9954798,50182,-43.23072052001953
1610711287.0614781,54907,-45.160457611083984
1610711304.97448,55863,-48.85752868652344
1610711351.588479,58522,-49.12782287597656
1610711391.5004787,60747,-49.25151062011719
1610711416.0324795,62180,-52.73722839355469
1610711421.2384791,62476,-50.419456481933594
1610711450.5114782,64140,-53.54554748535156
1610711476.7624788,65672,-54.998878479003906
1610711491.9374797,66522,-54.3554573059082
1610711511.8244777,67644,-55.89082336425781
1610711532.4454806,68788,-57.11133575439453
1610711536.174478,69022,-59.448936462402344
1610711543.4114804,69441,-58.4295768737793
1610711574.2004788,71186,-58.23463821411133
1610711601.9774802,72657,-58.35892105102539
1610711614.7134783,73429,-62.83131408691406
1610711623.0804806,73907,-61.07456970214844
1610711624.0914783,73958,-61.57484436035156
1610711626.1054811,74013,-63.58341598510742
1610711643.3104787,75010,-64.37626647949219
1610711732.511479,80209,-64.23103332519531
1610711745.0364792,80921,-69.05535888671875
1610711771.1584785,82391,-63.07219696044922
1610711774.6584787,82614,-65.94512176513672
1610711846.2604778,86602,-71.26811981201172
1610711854.3384793,87090,-73.1695556640625
1610711884.566478,88781,-71.83055114746094
1610711885.8874779,88866,-68.02687072753906
1610711888.0914798,89009,-72.63748168945312
1610711895.5574772,89394,-70.95985412597656
1610711909.0634773,90138,-73.51045989990234
1610711917.8784797,90675,-72.64112091064453
1610711929.088479,91348,-71.47987365722656
1610711929.3604782,91364,-71.86000061035156
1610711939.959478,91974,-76.53843688964844
1610711945.2704778,92238,-73.49627685546875
1610711968.6114776,93648,-73.62384033203125
1610711977.3614776,94121,-77.10720825195312
1610711999.4574773,95472,-78.97027587890625
1610712006.8014796,95902,-74.78376770019531
1610712033.222477,97378,-74.48567199707031
1610712035.24248,97481,-75.90757751464844
1610712049.3784792,98302,-72.71924591064453
1610712087.26648,100475,-77.98736572265625
1610712111.6004777,101885,-76.97869873046875
1610712128.7564774,102859,-79.46223449707031
1610712136.9894786,103336,-81.18699645996094
1610712147.1014786,103944,-80.24046325683594
1610712166.1634793,105002,-80.8589096069336
1610712189.2514772,106335,-82.81718444824219
1610712198.6944785,106897,-83.96128845214844
1610712199.3854818,106925,-82.12864685058594
1610712214.3744795,107775,-87.06669616699219
1610712250.9354794,109838,-86.621337890625
1610712264.7064784,110587,-83.7745132446289
1610712310.9834795,113324,-88.31787109375
1610712317.7014775,113699,-87.29086303710938
1610712339.1714783,114903,-86.28242492675781
